ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
GS,1999-05-04,76.0,77.25,70.0,70.38,22320900.0,0.0,1.0,63.252606590318,64.292945514501,58.258979754241,58.575242787192,22320900.0
GS,1999-05-05,69.88,69.88,66.25,69.13,7565700.0,0.0,1.0,58.159107217519,58.159107217519,55.137962981692,57.534903863009,7565700.0
GS,1999-05-06,68.0,69.38,67.06,67.94,2905700.0,0.0,1.0,56.594437475548,57.742971647846,55.812102604562,56.544501207187,2905700.0
GS,1999-05-07,67.94,74.88,66.75,74.13,4862300.0,0.0,1.0,56.544501207187,62.32046291425,55.554098551365,61.696259559741,4862300.0
GS,1999-05-10,73.38,73.5,70.25,70.69,2589400.0,0.0,1.0,61.072056205231,61.171928741953,58.467047539077,58.833246840389,2589400.0
GS,1999-05-11,70.0,71.19,69.5,70.63,1839800.0,0.0,1.0,58.258979754241,59.249382410063,57.842844184567,58.783310572029,1839800.0
GS,1999-05-12,71.0,74.88,69.13,73.5,2659300.0,0.0,1.0,59.091250893587,62.32046291425,57.534903863009,61.171928741953,2659300.0
GS,1999-05-13,73.25,75.25,72.5,74.25,1142900.0,0.0,1.0,60.963860957116,62.628403235809,60.339657602606,61.796132096462,1142900.0
GS,1999-05-14,71.25,72.25,69.06,70.19,2058400.0,0.0,1.0,59.299318678423,60.13158981777,57.476644883255,58.417111270716,2058400.0
GS,1999-05-17,69.13,70.25,68.0,68.63,2075000.0,0.0,1.0,57.534903863009,58.467047539077,56.594437475548,57.118768293336,2075000.0
GS,1999-05-18,68.25,70.44,68.13,68.63,1407100.0,0.0,1.0,56.802505260384,58.625179055553,56.702632723663,57.118768293336,1407100.0
GS,1999-05-19,69.38,69.81,68.75,69.31,727400.0,0.0,1.0,57.742971647846,58.100848237765,57.218640830058,57.684712668092,727400.0
GS,1999-05-20,69.56,70.13,68.38,68.38,520800.0,0.0,1.0,57.892780452928,58.367175002356,56.9107005085,56.9107005085,520800.0
GS,1999-05-21,68.13,68.81,67.5,67.5,936200.0,0.0,1.0,56.702632723663,57.268577098418,56.178301905875,56.178301905875,936200.0
GS,1999-05-24,67.0,67.25,65.0,65.31,1493000.0,0.0,1.0,55.762166336202,55.970234121038,54.097624057509,54.355628110706,1493000.0
GS,1999-05-25,64.13,65.94,64.0,64.5,1662400.0,0.0,1.0,53.373548166278,54.879958928495,53.265352918163,53.681488487836,1662400.0
GS,1999-05-26,65.63,66.63,63.06,66.06,1602900.0,0.0,1.0,54.621954875297,55.454226014644,52.483018047177,54.979831465216,1602900.0
GS,1999-05-27,65.0,67.75,64.69,67.75,1220500.0,0.0,1.0,54.097624057509,56.386369690711,53.839620004312,56.386369690711,1220500.0
GS,1999-05-28,67.75,68.81,67.0,67.94,901900.0,0.0,1.0,56.386369690711,57.268577098418,55.762166336202,56.544501207187,901900.0
GS,1999-06-01,66.63,66.63,63.56,64.19,953900.0,0.0,1.0,55.454226014644,55.454226014644,52.89915361685,53.423484434639,953900.0
GS,1999-06-02,63.75,64.06,62.0,63.25,2204300.0,0.0,1.0,53.057285133326,53.315289186524,51.60081063947,52.641149563653,2204300.0
GS,1999-06-03,64.0,64.19,63.13,63.63,852600.0,0.0,1.0,53.265352918163,53.423484434639,52.541277026931,52.957412596605,852600.0
GS,1999-06-04,64.31,67.0,64.31,65.38,1357400.0,0.0,1.0,53.52335697136,55.762166336202,53.52335697136,54.413887090461,1357400.0
GS,1999-06-07,65.19,67.75,65.19,65.94,891900.0,0.0,1.0,54.255755573985,56.386369690711,54.255755573985,54.879958928495,891900.0
GS,1999-06-08,65.38,65.69,63.75,63.75,571700.0,0.0,1.0,54.413887090461,54.671891143658,53.057285133326,53.057285133326,571700.0
GS,1999-06-09,64.25,65.5,63.63,65.5,611400.0,0.0,1.0,53.473420702999,54.513759627182,52.957412596605,54.513759627182,611400.0
GS,1999-06-10,64.88,64.94,63.31,63.38,664200.0,0.0,1.0,53.997751520787,54.047687789148,52.691085832014,52.749344811768,664200.0
GS,1999-06-11,63.94,64.31,62.31,62.94,969300.0,0.0,1.0,53.215416649802,53.52335697136,51.858814692668,52.383145510456,969300.0
GS,1999-06-14,63.5,64.0,60.5,61.25,821100.0,0.0,1.0,52.84921734849,53.265352918163,50.352403930451,50.97660728496,821100.0
GS,1999-06-15,62.88,63.38,62.25,62.75,831700.0,0.0,1.0,52.333209242095,52.749344811768,51.808878424307,52.22501399398,831700.0
GS,1999-06-16,63.94,65.44,63.94,65.25,690300.0,0.0,1.0,53.215416649802,54.463823358821,53.215416649802,54.305691842346,690300.0
GS,1999-06-17,64.5,66.88,64.5,65.0,955700.0,0.0,1.0,53.681488487836,55.66229379948,53.681488487836,54.097624057509,955700.0
GS,1999-06-18,64.25,64.88,63.5,64.81,613900.0,0.0,1.0,53.473420702999,53.997751520787,52.84921734849,53.939492541033,613900.0
GS,1999-06-21,66.69,69.94,66.56,69.5,1811000.0,0.0,1.0,55.504162283004,58.20904348588,55.395967034889,57.842844184567,1811000.0
GS,1999-06-22,70.13,70.13,67.75,68.0,1165900.0,0.0,1.0,58.367175002356,58.367175002356,56.386369690711,56.594437475548,1165900.0
GS,1999-06-23,67.06,67.44,64.88,65.0,1351700.0,0.0,1.0,55.812102604562,56.128365637514,53.997751520787,54.097624057509,1351700.0
GS,1999-06-24,66.06,66.5,64.5,65.06,1408900.0,0.0,1.0,54.979831465216,55.346030766528,53.681488487836,54.14756032587,1408900.0
GS,1999-06-25,65.5,66.81,65.38,66.25,1111500.0,0.0,1.0,54.513759627182,55.604034819726,54.413887090461,55.137962981692,1111500.0
GS,1999-06-28,66.44,67.5,65.75,66.56,784600.0,0.0,1.0,55.296094498168,56.178301905875,54.721827412019,55.395967034889,784600.0
GS,1999-06-29,66.0,68.5,66.0,67.75,629800.0,0.0,1.0,54.929895196855,57.010573045221,54.929895196855,56.386369690711,629800.0
GS,1999-06-30,68.5,72.25,66.13,72.25,2127600.0,0.0,1.0,57.010573045221,60.13158981777,55.03809044497,60.13158981777,2127600.0
GS,1999-07-01,71.38,71.44,69.75,70.81,813600.0,0.0,1.0,59.407513926538,59.457450194899,58.050911969404,58.933119377111,813600.0
GS,1999-07-02,70.56,71.19,69.69,70.94,536900.0,0.0,1.0,58.725051592274,59.249382410063,58.000975701043,59.041314625226,536900.0
GS,1999-07-06,70.0,71.19,69.25,70.5,747600.0,0.0,1.0,58.258979754241,59.249382410063,57.634776399731,58.675115323914,747600.0
GS,1999-07-07,69.56,70.0,68.0,68.0,648800.0,0.0,1.0,57.892780452928,58.258979754241,56.594437475548,56.594437475548,648800.0
GS,1999-07-08,68.0,68.88,67.19,67.25,424400.0,0.0,1.0,56.594437475548,57.326836078173,55.920297852677,55.970234121038,424400.0
GS,1999-07-09,67.44,68.19,67.25,67.25,312700.0,0.0,1.0,56.128365637514,56.752568992024,55.970234121038,55.970234121038,312700.0
GS,1999-07-12,68.0,68.94,67.88,68.38,547700.0,0.0,1.0,56.594437475548,57.376772346533,56.494564938826,56.9107005085,547700.0
GS,1999-07-13,68.25,68.69,67.63,67.88,969600.0,0.0,1.0,56.802505260384,57.168704561697,56.28649715399,56.494564938826,969600.0
GS,1999-07-14,67.38,67.75,67.31,67.63,888200.0,0.0,1.0,56.078429369153,56.386369690711,56.020170389399,56.28649715399,888200.0
GS,1999-07-15,68.0,68.0,67.5,67.94,864700.0,0.0,1.0,56.594437475548,56.594437475548,56.178301905875,56.544501207187,864700.0
GS,1999-07-16,67.75,68.75,67.75,68.06,476700.0,0.0,1.0,56.386369690711,57.218640830058,56.386369690711,56.644373743909,476700.0
GS,1999-07-19,68.25,70.75,68.25,69.44,646100.0,0.0,1.0,56.802505260384,58.88318310875,56.802505260384,57.792907916207,646100.0
GS,1999-07-20,69.13,70.44,67.88,68.13,886100.0,0.0,1.0,57.534903863009,58.625179055553,56.494564938826,56.702632723663,886100.0
GS,1999-07-21,68.0,68.06,67.13,67.88,626100.0,0.0,1.0,56.594437475548,56.644373743909,55.870361584317,56.494564938826,626100.0
GS,1999-07-22,68.13,68.25,66.5,66.5,579500.0,0.0,1.0,56.702632723663,56.802505260384,55.346030766528,55.346030766528,579500.0
GS,1999-07-23,66.38,66.38,64.0,64.06,767200.0,0.0,1.0,55.246158229807,55.246158229807,53.265352918163,53.315289186524,767200.0
GS,1999-07-26,64.25,64.75,63.19,63.25,749500.0,0.0,1.0,53.473420702999,53.889556272672,52.591213295292,52.641149563653,749500.0
GS,1999-07-27,64.25,65.75,63.31,65.5,592200.0,0.0,1.0,53.473420702999,54.721827412019,52.691085832014,54.513759627182,592200.0
GS,1999-07-28,65.25,66.38,64.0,66.06,584800.0,0.0,1.0,54.305691842346,55.246158229807,53.265352918163,54.979831465216,584800.0
